file_registry_id$,id,sample_id,operator,sample_collection_id,Analyte,[Nanodrop]ng/ul,A260A280,A260A230,[Qubit]ng/ul,solution_used,solution_lot_number,sample_type,project,folder_id$,Sampling Device,Source Specimen,Special Condition,name
EXT369,bfi_QDTs7oDq,bfi_c9INo9Zv,Vy Lam,bfi_AEG1vKlA,DNA,7.2,1.93,1.8,4.23,bfi_dH8GtdrK,17711700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan Cotton-Tipped Applicators,Buccal Cells,No,iSWAB
EXT368,bfi_PTY0Q1On,bfi_6A9oOSVh,Vy Lam,bfi_AEG1vKlA,DNA,19.7,2.07,1.85,8.24,bfi_dH8GtdrK,17711700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan Cotton-Tipped Applicators,Buccal Cells,No,iSWAB
EXT367,bfi_SIv9EHqG,bfi_vNWqSSdi,Vy Lam,bfi_AEG1vKlA,DNA,8.2,2.03,2.28,5.0,bfi_dH8GtdrK,17711700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan Cotton-Tipped Applicators,Buccal Cells,No,iSWAB
EXT366,bfi_Rxjrle5V,bfi_xg6qvuob,Vy Lam,bfi_AEG1vKlA,DNA,9.0,2.02,1.72,3.57,bfi_dH8GtdrK,17711700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan Cotton-Tipped Applicators,Buccal Cells,No,iSWAB
EXT365,bfi_q7KsiMhX,bfi_SeV5fjMh,Vy Lam,bfi_AEG1vKlA,DNA,6.1,2.28,2.72,3.2,bfi_dH8GtdrK,17711700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan Cotton-Tipped Applicators,Buccal Cells,No,iSWAB
EXT364,bfi_dqibwYaJ,bfi_1eFRpdpZ,Vy Lam,bfi_AEG1vKlA,DNA,11.9,2.13,2.92,7.36,bfi_dH8GtdrK,17711700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan Cotton-Tipped Applicators,Buccal Cells,No,iSWAB
EXT363,bfi_khByEodj,bfi_DChnMqVj,Vy Lam,bfi_AEG1vKlA,DNA,10.2,1.81,1.51,6.96,bfi_dH8GtdrK,17711700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan Cotton-Tipped Applicators,Buccal Cells,No,iSWAB
EXT362,bfi_fRoJ8ICH,bfi_45o6IVIm,Vy Lam,bfi_AEG1vKlA,DNA,4.6,2.13,3.36,2.64,bfi_dH8GtdrK,17711700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan Cotton-Tipped Applicators,Buccal Cells,No,iSWAB
EXT361,bfi_wQqejKVY,bfi_xu1nivMr,Vy Lam,bfi_AEG1vKlA,DNA,11.1,2.13,2.8,6.64,bfi_dH8GtdrK,17711700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan Cotton-Tipped Applicators,Buccal Cells,No,iSWAB
EXT360,bfi_MTs2RXLn,bfi_Z6C86mjJ,Vy Lam,bfi_AEG1vKlA,DNA,12.6,2.16,2.78,8.16,bfi_dH8GtdrK,17711700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan Cotton-Tipped Applicators,Buccal Cells,No,iSWAB
EXT359,bfi_jvSV6zM5,bfi_jb44FROG,Vy Lam,bfi_AEG1vKlA,DNA,14.8,1.88,1.8,5.08,bfi_dH8GtdrK,17711700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan Cotton-Tipped Applicators,Buccal Cells,No,iSWAB
EXT358,bfi_OfSZmkuD,bfi_WcJ5mqkt,Vy Lam,bfi_AEG1vKlA,DNA,7.3,2.21,2.13,4.52,bfi_dH8GtdrK,17711700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan Cotton-Tipped Applicators,Buccal Cells,No,iSWAB
EXT908,bfi_2Zpf5Vr1,bfi_5vDbAfVu,Vy Lam,bfi_ODJSjZci,DNA,6.4,2.95,2.74,3.58,bfi_dH8GtdrK,19312900,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT907,bfi_C45CfFmu,bfi_gaAbSI7Z,Vy Lam,bfi_ODJSjZci,DNA,8.9,2.18,2.48,5.56,bfi_dH8GtdrK,19312900,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT906,bfi_MmlxMYVA,bfi_apNV39pJ,Vy Lam,bfi_ODJSjZci,DNA,21.9,2.11,2.15,17.4,bfi_dH8GtdrK,19312900,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT905,bfi_9vawebXh,bfi_yUGZ4biX,Vy Lam,bfi_ODJSjZci,DNA,52.8,1.94,2.12,44.4,bfi_dH8GtdrK,19312900,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT904,bfi_Be8E34nu,bfi_RToEwgKm,Vy Lam,bfi_ODJSjZci,DNA,3.8,2.22,2.88,2.08,bfi_dH8GtdrK,19312900,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT903,bfi_pP8f9Vo5,bfi_tNi7Jzdk,Vy Lam,bfi_ODJSjZci,DNA,32.6,2.07,2.22,17.2,bfi_dH8GtdrK,19312900,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT902,bfi_4oVT4sEg,bfi_5qbuCn9s,Vy Lam,bfi_ODJSjZci,DNA,15.9,2.04,1.82,8.48,bfi_dH8GtdrK,19312900,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT901,bfi_VfAkn15h,bfi_mOAL6CYx,Vy Lam,bfi_ODJSjZci,DNA,19.3,2.15,2.76,10.9,bfi_dH8GtdrK,19312900,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT900,bfi_axcZgDX6,bfi_V8c1lPmB,Vy Lam,bfi_ODJSjZci,DNA,12.5,2.28,2.71,8.64,bfi_dH8GtdrK,19312900,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT899,bfi_aeluQyCr,bfi_nk4LEKkF,Vy Lam,bfi_ODJSjZci,DNA,36.4,2.05,1.94,16.9,bfi_dH8GtdrK,19312900,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT898,bfi_JQH8jm9L,bfi_THwwX4NU,Vy Lam,bfi_ODJSjZci,DNA,31.2,2.11,2.09,14.6,bfi_dH8GtdrK,19312900,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT897,bfi_pttYO8az,bfi_U60YemtS,Vy Lam,bfi_ODJSjZci,DNA,23.0,2.39,2.27,7.08,bfi_dH8GtdrK,19312900,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT896,bfi_Tm0hvtTj,bfi_5LvWo3oj,Vy Lam,bfi_ODJSjZci,DNA,16.8,2.41,1.97,6.84,bfi_dH8GtdrK,19312900,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT895,bfi_jatPsnhm,bfi_jd9hu7Sl,Vy Lam,bfi_ODJSjZci,DNA,17.3,2.03,1.04,8.64,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT894,bfi_GI4cE84f,bfi_m8XTVwZP,Vy Lam,bfi_ODJSjZci,DNA,37.5,1.91,2.21,31.4,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT893,bfi_0ta86R6T,bfi_vltsZI3S,Vy Lam,bfi_ODJSjZci,DNA,43.1,1.96,2.27,37.4,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT892,bfi_1SIVBVT9,bfi_eL9DEXh2,Vy Lam,bfi_ODJSjZci,DNA,4.9,2.38,2.87,2.68,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT891,bfi_TAFKYsMj,bfi_UOWkLecd,Vy Lam,bfi_ODJSjZci,DNA,50.2,1.96,2.28,42.8,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT890,bfi_FH4g9ffh,bfi_SEx8UvlR,Vy Lam,bfi_ODJSjZci,DNA,17.5,2.16,1.9,10.7,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT889,bfi_7vCyc9pK,bfi_mrm2aYVd,Vy Lam,bfi_ODJSjZci,DNA,24.1,2.19,2.64,18.5,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT321,bfi_h75lzoZH,bfi_7b1RtngT,Vy Lam,bfi_ODJSjZci,DNA,17.6,2.0,1.85,8.6,bfi_dH8GtdrK,17711700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT320,bfi_VmmjMm5E,bfi_KxL4hznj,Vy Lam,bfi_ODJSjZci,DNA,16.4,2.01,1.26,9.92,bfi_dH8GtdrK,17711700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT319,bfi_ZSjPjA9W,bfi_5zGqk2GP,Vy Lam,bfi_ODJSjZci,DNA,9.5,1.87,2.21,4.96,bfi_dH8GtdrK,17711700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT318,bfi_RBJ6X1P8,bfi_9Zws9IcI,Vy Lam,bfi_ODJSjZci,DNA,13.4,1.95,2.11,4.44,bfi_dH8GtdrK,17711700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT278,bfi_nK8zFV5C,bfi_WU580HJq,Rigel Sison,bfi_ODJSjZci,DNA,45.6,2.07,2.43,19.32,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT289,bfi_eYkoeEN4,bfi_WU580HJq,Vy Lam,bfi_ODJSjZci,DNA,43.58,2.0475,2.4275,15.5,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT277,bfi_cRrrdeLb,bfi_AkR4aHHN,Rigel Sison,bfi_ODJSjZci,DNA,40.9,2.05,2.38,17.56,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT288,bfi_HFGZhGdX,bfi_AkR4aHHN,Vy Lam,bfi_ODJSjZci,DNA,41.39,2.123,2.4515,13.9,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT285,bfi_8TmT19eR,bfi_uoCdTAZk,Vy Lam,bfi_ODJSjZci,DNA,11.2,2.302,2.7675,5.08,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT276,bfi_PUwND9cE,bfi_uoCdTAZk,Rigel Sison,bfi_ODJSjZci,DNA,14.9,1.85,1.44,2.28,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT275,bfi_0XHTF5v6,bfi_sjMP3IQg,Rigel Sison,bfi_ODJSjZci,DNA,39.0,2.03,2.44,9.0,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT283,bfi_SMB8goL5,bfi_sjMP3IQg,Vy Lam,bfi_ODJSjZci,DNA,39.21,2.08025,2.149,14.0,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT280,bfi_fWvTpgz4,bfi_NMwr5Nqp,Vy Lam,bfi_ODJSjZci,DNA,11.41,2.20133333,2.989,4.68,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT274,bfi_xSISFdfZ,bfi_NMwr5Nqp,Rigel Sison,bfi_ODJSjZci,DNA,15.0,2.27,2.23,3.66,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT273,bfi_9HnpnZUS,bfi_cvV7VgF2,Rigel Sison,bfi_ODJSjZci,DNA,18.1,1.98,2.1,6.72,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT261,bfi_usUcxzSt,bfi_cvV7VgF2,Vy Lam,bfi_ODJSjZci,DNA,14.33,1.809,1.6615,10.4,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT258,bfi_el0hCnKF,bfi_I8oFou05,Vy Lam,bfi_ODJSjZci,DNA,29.09,1.906,2.08,23.7,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT272,bfi_avcW0MH6,bfi_I8oFou05,Rigel Sison,bfi_ODJSjZci,DNA,31.1,1.86,1.82,11.4,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT271,bfi_bTZvm9vY,bfi_mbtIXdWD,Rigel Sison,bfi_ODJSjZci,DNA,13.3,1.97,1.71,4.64,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT256,bfi_tl83UPvs,bfi_mbtIXdWD,Vy Lam,bfi_ODJSjZci,DNA,14.04,1.9015,2.04,9.32,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT248,bfi_wtcKVp9E,bfi_PgmchVm8,Vy Lam,bfi_ODJSjZci,DNA,32.75,1.918,2.185,23.9,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT270,bfi_6bjrlsFM,bfi_PgmchVm8,Rigel Sison,bfi_ODJSjZci,DNA,34.8,1.94,2.32,13.9,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT247,bfi_in1DY3Vm,bfi_eaA1Xxjr,Vy Lam,bfi_ODJSjZci,DNA,7.32,2.09566667,0.850333,2.02,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT269,bfi_dvpI9ZYF,bfi_eaA1Xxjr,Rigel Sison,bfi_ODJSjZci,DNA,5.1,1.96,1.14,0.66,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT268,bfi_dEVETcn0,bfi_IQVECtlX,Rigel Sison,bfi_ODJSjZci,DNA,30.3,2.0,2.4,9.12,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT246,bfi_W288Frvg,bfi_IQVECtlX,Vy Lam,bfi_ODJSjZci,DNA,36.61,2.0295,2.42,16.7,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT267,bfi_TIBfXuM9,bfi_uTNr06Cz,Rigel Sison,bfi_ODJSjZci,DNA,25.2,2.0,2.72,10.02,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT245,bfi_pyTT1tFE,bfi_uTNr06Cz,Vy Lam,bfi_ODJSjZci,DNA,30.58,1.939,2.3205,22.8,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT244,bfi_L9I9mrt1,bfi_GqLoRzdM,Vy Lam,bfi_ODJSjZci,DNA,19.36,2.05,2.5555,15.8,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT266,bfi_8JcRX6jR,bfi_GqLoRzdM,Rigel Sison,bfi_ODJSjZci,DNA,17.75,2.11,3.0,6.2,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,Puritan PurFlock Ultra,Buccal Cells,No,iSWAB
EXT290,bfi_LvDkm3OM,bfi_QR3hfzLH,Vy Lam,bfi_MncJU6Cz,DNA,18.32,2.209,1.8265,4.24,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,McKesson Cotton-Tipped Applicators (Wood Shaft),Buccal Cells,No,iSWAB
EXT282,bfi_xvmaNik2,bfi_J1QByCtz,Vy Lam,bfi_MncJU6Cz,DNA,11.64,2.098,1.281,6.0,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,McKesson Cotton-Tipped Applicators (Wood Shaft),Buccal Cells,No,iSWAB
EXT281,bfi_vVBSnzBJ,bfi_UkjrrMRg,Vy Lam,bfi_MncJU6Cz,DNA,13.36,2.136,1.7595,7.16,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,McKesson Cotton-Tipped Applicators (Wood Shaft),Buccal Cells,No,iSWAB
EXT279,bfi_yx6MnG4P,bfi_ngoBCelh,Vy Lam,bfi_MncJU6Cz,DNA,12.75,2.1825,2.9515,2.92,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,McKesson Cotton-Tipped Applicators (Wood Shaft),Buccal Cells,No,iSWAB
EXT260,bfi_ayyIjses,bfi_4YMJdPsY,Vy Lam,bfi_MncJU6Cz,DNA,10.99,1.9105,2.0065,3.9,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,McKesson Cotton-Tipped Applicators (Wood Shaft),Buccal Cells,No,iSWAB
EXT259,bfi_O3jZn6aP,bfi_mP4luXES,Vy Lam,bfi_MncJU6Cz,DNA,5.88,2.246,2.451,1.51,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,McKesson Cotton-Tipped Applicators (Wood Shaft),Buccal Cells,No,iSWAB
EXT255,bfi_lr3xtPsu,bfi_lgArZrL7,Vy Lam,bfi_MncJU6Cz,DNA,6.07,2.0245,4.171,2.61,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,McKesson Cotton-Tipped Applicators (Wood Shaft),Buccal Cells,No,iSWAB
EXT254,bfi_FyyGDLHW,bfi_h4naLGy4,Vy Lam,bfi_MncJU6Cz,DNA,7.25,2.3075,2.4995,3.26,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,McKesson Cotton-Tipped Applicators (Wood Shaft),Buccal Cells,No,iSWAB
EXT253,bfi_sFgl0Sfq,bfi_a8nnuOB9,Vy Lam,bfi_MncJU6Cz,DNA,14.34,1.8875,1.355,6.92,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,McKesson Cotton-Tipped Applicators (Wood Shaft),Buccal Cells,No,iSWAB
EXT252,bfi_CouE2UOJ,bfi_YQqUPizW,Vy Lam,bfi_MncJU6Cz,DNA,12.75,2.09933333,2.737333,4.44,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,McKesson Cotton-Tipped Applicators (Wood Shaft),Buccal Cells,No,iSWAB
EXT251,bfi_XirQBmdx,bfi_w0Kft2FB,Vy Lam,bfi_MncJU6Cz,DNA,10.13,1.84033333,1.218333,2.51,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,McKesson Cotton-Tipped Applicators (Wood Shaft),Buccal Cells,No,iSWAB
EXT250,bfi_sbXtrKvS,bfi_Vr0I2yDx,Vy Lam,bfi_MncJU6Cz,DNA,13.65,1.942,1.595,4.32,bfi_dH8GtdrK,17953700,Swabs,iSwab DNA,lib_zB7K6M5W,McKesson Cotton-Tipped Applicators (Wood Shaft),Buccal Cells,No,iSWAB
EXT771,bfi_gCVXaTmZ,bfi_Jow4buJZ,Vy Lam,bfi_HV04gRqJ,DNA,19.0,2.09,2.36,7.0,bfi_dH8GtdrK,17711700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT770,bfi_o5eemfvq,bfi_Z2tBo1wd,Vy Lam,bfi_HV04gRqJ,DNA,38.2,1.96,2.27,7.56,bfi_dH8GtdrK,17711700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT767,bfi_hbILZmWU,bfi_0y7R2RCm,Vy Lam,bfi_HV04gRqJ,DNA,19.3,1.98,2.06,7.8,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT766,bfi_FceHHpQB,bfi_zNFp9PU5,Vy Lam,bfi_HV04gRqJ,DNA,27.3,1.93,2.11,9.2,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT628,bfi_ZJchvP6y,bfi_wDPQa4JN,Vy Lam,bfi_HV04gRqJ,DNA,35.7,1.96,2.06,25.76,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT652,bfi_JaijDrTd,bfi_wDPQa4JN,Rigel Sison,bfi_HV04gRqJ,DNA,29.8,1.82,1.8,22.7,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT627,bfi_ar60bhRU,bfi_8fOso5sZ,Vy Lam,bfi_HV04gRqJ,DNA,58.3,2.1,1.86,21.3,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT651,bfi_0nxwA2ih,bfi_8fOso5sZ,Rigel Sison,bfi_HV04gRqJ,DNA,58.0,2.01,1.97,14.3,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT650,bfi_1fn8cXzU,bfi_HGYR28Ws,Rigel Sison,bfi_HV04gRqJ,DNA,94.5,1.82,2.01,62.4,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT626,bfi_dkOZZgRc,bfi_HGYR28Ws,Vy Lam,bfi_HV04gRqJ,DNA,99.9,1.9,1.97,66.0,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT649,bfi_V1tky8CV,bfi_bkgXu5rf,Rigel Sison,bfi_HV04gRqJ,DNA,33.9,1.8,1.71,26.7,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT625,bfi_Mw2PTE6e,bfi_bkgXu5rf,Vy Lam,bfi_HV04gRqJ,DNA,33.0,1.97,1.37,22.3,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT624,bfi_71HtW0ZS,bfi_ApIkLUVe,Vy Lam,bfi_HV04gRqJ,DNA,9.8,1.95,0.73,2.08,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT648,bfi_FkXyY54I,bfi_ApIkLUVe,Rigel Sison,bfi_HV04gRqJ,DNA,10.7,1.59,1.16,3.13,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT623,bfi_XaZRGHwW,bfi_oTqCVpoQ,Vy Lam,bfi_HV04gRqJ,DNA,36.2,2.13,1.72,20.1,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT647,bfi_SuxYfaVu,bfi_oTqCVpoQ,Rigel Sison,bfi_HV04gRqJ,DNA,40.9,1.92,2.2,21.2,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT622,bfi_Br9S2HXw,bfi_rPQlyI1D,Vy Lam,bfi_HV04gRqJ,DNA,11.8,2.23,0.74,8.2,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT646,bfi_ocJK654f,bfi_rPQlyI1D,Rigel Sison,bfi_HV04gRqJ,DNA,13.3,1.84,1.7,9.08,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT645,bfi_GXqLL3Ow,bfi_sVHozKRe,Rigel Sison,bfi_HV04gRqJ,DNA,38.3,1.74,0.95,22.0,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT621,bfi_dVHvgsdL,bfi_sVHozKRe,Vy Lam,bfi_HV04gRqJ,DNA,32.9,1.98,1.87,22.0,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT644,bfi_bSS7HcKy,bfi_en82mw0Q,Rigel Sison,bfi_HV04gRqJ,DNA,23.5,1.96,1.96,16.2,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
EXT620,bfi_ZVSvFzSs,bfi_en82mw0Q,Vy Lam,bfi_HV04gRqJ,DNA,24.1,1.97,1.4,15.1,bfi_dH8GtdrK,17953700,DNA,iSwab DNA,lib_zB7K6M5W,Copan - FLOQSwabs,Buccal Cells,No,iSWAB
